,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000027947,1473.704641,-1.351623099,0.216345085,-6.247533204,4.17E-10,7.69E-08
ENSMUSG00000079499,550.9023185,0.945900602,0.15296582,6.183738322,6.26E-10,1.14E-07
ENSMUSG00000006154,762.0218119,1.047099379,0.16985303,6.164737719,7.06E-10,1.26E-07
ENSMUSG00000072620,2741.196757,-0.924806788,0.150186427,-6.157725494,7.38E-10,1.30E-07
ENSMUSG00000017057,78.00986792,2.294788976,0.37376777,6.139611712,8.27E-10,1.44E-07
ENSMUSG00000020437,7236.382936,0.817527316,0.133973936,6.102137013,1.05E-09,1.80E-07
ENSMUSG00000026620,24.13974455,5.230684583,0.866813763,6.034381092,1.60E-09,2.70E-07
ENSMUSG00000010175,48.97852759,2.192916002,0.364919941,6.009307131,1.86E-09,3.07E-07
ENSMUSG00000030056,1786.3977,0.654783988,0.108939571,6.010524774,1.85E-09,3.07E-07
ENSMUSG00000028300,2413.52204,0.710078804,0.118328329,6.000919717,1.96E-09,3.19E-07
ENSMUSG00000037295,1698.548638,-0.727547972,0.121982157,-5.964380295,2.46E-09,3.94E-07
ENSMUSG00000027200,166.0801183,2.590407865,0.436074168,5.94029194,2.85E-09,4.51E-07
ENSMUSG00000035498,122.3308204,1.796298098,0.303433429,5.919908378,3.22E-09,5.04E-07
ENSMUSG00000064065,2484.381219,-0.777120547,0.132285464,-5.874572493,4.24E-09,6.55E-07
ENSMUSG00000112148,489.5698854,2.034149246,0.347329382,5.856542381,4.73E-09,7.21E-07
ENSMUSG00000021895,4975.276813,-0.643767319,0.110345609,-5.834100022,5.41E-09,8.15E-07
ENSMUSG00000040957,136.4348651,1.274990503,0.218666325,5.83075837,5.52E-09,8.21E-07
ENSMUSG00000023009,399.3396004,-0.860299056,0.148418929,-5.796424112,6.77E-09,9.91E-07
ENSMUSG00000030114,237.6757644,1.505897797,0.259842511,5.795425057,6.81E-09,9.91E-07
ENSMUSG00000013367,111.0125649,1.442983237,0.250366223,5.763490054,8.24E-09,1.17E-06
ENSMUSG00000014075,38.41080213,2.173161045,0.376936673,5.765321347,8.15E-09,1.17E-06
ENSMUSG00000027583,873.5997947,1.885180731,0.327352542,5.758869989,8.47E-09,1.19E-06
ENSMUSG00000026068,1010.480742,1.43202452,0.249327103,5.74355737,9.27E-09,1.28E-06
